rank,country,total_cases,new_cases,total_deaths,new_deaths,active_cases,continent
106,Namibia,"13,865",54,145,0,495,Africa
107,Latvia,"13,120",376,153,0,"11,332",Europe
108,French Polynesia,"12,978",0,63,0,"8,073",Australia/Oceania
109,Guinea,"12,826",28,75,0,913,Africa
110,Maldives,"12,608",30,46,1,963,Asia
111,DRC,"12,180",0,327,0,553,Africa
112,Tajikistan,"11,894",40,86,0,537,Asia
113,French Guiana,"11,014",0,70,0,949,South America
114,Jamaica,"10,284",44,238,1,"4,541",North America
115,Cabo Verde,"10,276",42,104,0,442,Africa
116,Estonia,"9,724",349,88,1,"3,937",Europe
117,Botswana,"9,594",0,31,0,"2,267",Africa
118,Zimbabwe,"9,220",48,268,3,702,Africa
119,Haiti,"9,214",0,232,0,"1,128",North America
120,Gabon,"9,131",0,59,0,96,Africa
121,Malta,"8,924",102,111,0,"2,159",Europe
122,Cyprus,"8,643",187,44,1,"6,544",Asia
123,Guadeloupe,"8,225",0,144,0,"5,839",North America
124,Mauritania,"8,128",32,169,0,368,Africa
125,Cuba,"7,846",48,132,0,380,North America
126,Réunion,"7,501",0,35,0,806,Africa
127,Bahamas,"7,413",18,163,0,"1,598",North America
128,Syria,"7,225",71,376,4,"3,752",Asia
129,Trinidad and Tobago,"6,450",126,115,0,725,North America
130,Andorra,"6,256",49,76,0,822,Europe
131,Eswatini,"6,219",14,120,1,241,Africa
132,Malawi,"6,003",0,185,0,377,Africa
133,Nicaragua,"5,725",0,159,0,"1,341",North America
134,Djibouti,"5,668",7,61,0,52,Africa
135,Rwanda,"5,665",45,47,1,454,Africa
136,Congo,"5,632",0,93,0,"1,652",Africa
137,Hong Kong,"5,629",68,108,0,262,Asia
138,Suriname,"5,296",1,116,0,12,South America
139,Iceland,"5,277",8,26,0,205,Europe
140,Guyana,"5,133",40,143,0,971,South America
141,Equatorial Guinea,"5,130",0,85,0,70,Africa
142,Belize,"5,110",54,112,5,"2,198",North America
143,Mayotte,"5,036",0,48,0,"2,024",Africa
144,CAR,"4,911",0,63,0,"2,924",Africa
145,Martinique,"4,732",0,37,0,"4,597",North America
146,Aruba,"4,731",7,45,0,90,North America
147,Uruguay,"4,699",135,71,2,949,South America
148,Somalia,"4,445",63,113,5,920,Africa
149,Mali,"4,255",49,145,2,"1,086",Africa
150,Thailand,"3,913",11,60,0,92,Asia
151,Gambia,"3,726",0,123,0,21,Africa
152,South Sudan,"3,047",0,60,0,"1,697",Africa
153,Benin,"2,916",0,43,0,294,Africa
154,Togo,"2,843",14,64,0,531,Africa
155,Burkina Faso,"2,735",32,68,0,135,Africa
156,Guinea-Bissau,"2,421",0,43,0,92,Africa
157,Sierra Leone,"2,405",0,74,0,503,Africa
158,Yemen,"2,099",6,608,0,43,Asia
159,Lesotho,"2,085",0,44,0,765,Africa
160,New Zealand,"2,028",9,25,0,50,Australia/Oceania
161,Curaçao,"1,682",0,3,0,691,North America
162,Chad,"1,642",9,101,0,72,Africa
163,Liberia,"1,551",0,82,0,138,Africa
164,San Marino,"1,395",0,43,0,270,Europe
165,Niger,"1,368",17,70,0,132,Africa
166,Vietnam,"1,307",1,35,0,130,Asia
167,Liechtenstein,"1,112",3,8,0,221,Europe
168,Channel Islands,"1,094",0,48,0,159,Europe
169,Sint Maarten,996,0,25,0,81,North America
170,Sao Tome and Principe,979,0,17,0,39,Africa
171,Gibraltar,958,5,4,1,94,Europe
172,Turks and Caicos,746,0,6,0,40,North America
173,Diamond Princess,712,0,13,0,40,
174,Saint Martin,690,0,12,0,80,North America
175,Burundi,662,6,1,0,86,Africa
176,Mongolia,629,47,0,0,289,Asia
177,Taiwan,617,6,7,0,62,Asia
178,Papua New Guinea,604,0,7,0,11,Australia/Oceania
179,Comoros,596,0,7,0,17,Africa
180,Monaco,582,1,3,0,67,Europe
181,Eritrea,551,0,0,0,78,Africa
182,Tanzania,509,0,21,0,305,Africa
183,Faeroe Islands,500,1,0,0,3,Europe
184,Mauritius,494,0,10,0,51,Africa
185,Bhutan,379,1,0,0,19,Asia
186,Isle of Man,368,0,25,0,11,Europe
187,Cambodia,306,1,0,0,11,Asia
188,Cayman Islands,261,0,2,0,14,North America
189,Barbados,255,0,7,0,7,North America
190,Bermuda,227,0,9,0,18,North America
191,Saint Lucia,204,0,2,0,142,North America
192,Seychelles,163,0,0,0,4,Africa
193,Caribbean Netherlands,158,0,3,0,3,North America
194,Brunei,148,0,3,0,0,Asia
195,Antigua and Barbuda,139,0,4,0,7,North America
196,St. Barth,127,0,0,0,33,North America
197,St. Vincent Grenadines,84,0,0,0,6,North America
198,Dominica,72,0,0,0,17,North America
199,British Virgin Islands,71,0,1,0,0,North America
200,Macao,46,0,0,0,0,Asia
201,Grenada,41,0,0,0,11,North America
202,Fiji,35,0,2,0,0,Australia/Oceania
203,New Caledonia,32,0,0,0,0,Australia/Oceania
204,Timor-Leste,30,0,0,0,0,Asia
205,Vatican City,27,0,0,0,12,Europe
206,Laos,25,0,0,0,2,Asia
207,Saint Kitts and Nevis,20,1,0,0,1,North America
208,Greenland,18,0,0,0,0,North America
209,Falkland Islands,16,0,0,0,3,South America
210,Saint Pierre Miquelon,16,0,0,0,4,North America
211,Solomon Islands,16,0,0,0,11,Australia/Oceania
212,Montserrat,13,0,1,0,0,North America
213,Western Sahara,10,0,1,0,1,Africa
214,MS Zaandam,9,0,2,0,7,
215,Marshall Islands,4,0,0,0,3,Australia/Oceania
216,Anguilla,3,0,0,0,0,North America
217,Wallis and Futuna,2,0,0,0,1,Australia/Oceania
218,Samoa,1,0,0,0,1,Australia/Oceania
219,Vanuatu,1,0,0,0,1,Australia/Oceania
220,China,"86,431",17,"4,634",0,316,Asia
